transit_date,station_complex_id,station_ridership,inside_zone
1/15/2024,309,5834,0
1/15/2024,168,6119,1
1/15/2024,151,8960,0
1/15/2024,155,3370,0
1/15/2024,439,4357,0
1/15/2024,614,27473,1
1/15/2024,605,9417,0
1/15/2024,164,34129,1
1/15/2024,308,6230,0
1/15/2024,157,4110,0
1/15/2024,476,10770,0
1/15/2024,228,9658,1
1/15/2024,223,4346,0
1/15/2024,437,1065,0
1/15/2024,310,15562,0
1/15/2024,306,3526,0
1/15/2024,471,10381,1
1/15/2024,167,19325,1
1/15/2024,601,19296,1
1/15/2024,10,9153,1
1/15/2024,277,6901,1
1/15/2024,327,4653,1
1/15/2024,312,7152,0
1/15/2024,623,21847,1
1/15/2024,103,1829,1
1/15/2024,156,1982,0
1/15/2024,397,23125,0
1/15/2024,153,9950,0
1/15/2024,607,48585,1
1/15/2024,276,8542,1
1/15/2024,438,3714,0
1/15/2024,413,4983,1
1/15/2024,393,4847,0
1/15/2024,300,3311,0
1/15/2024,145,1807,0
1/15/2024,162,9719,1
1/15/2024,152,1870,0
1/15/2024,325,1914,1
1/15/2024,329,2397,1
1/15/2024,13,5337,1
1/15/2024,143,3636,0
1/15/2024,224,2190,1
1/15/2024,323,5820,1
1/15/2024,321,3121,1
1/15/2024,405,8234,1
1/15/2024,477,10732,0
1/15/2024,628,26480,1
1/15/2024,299,2871,0
1/15/2024,318,28230,1
1/15/2024,107,1909,1
1/15/2024,618,19996,1
1/15/2024,440,3538,0
1/15/2024,326,2117,1
1/15/2024,119,11778,1
1/15/2024,8,6361,0
1/15/2024,403,11526,1
1/15/2024,305,4833,0
1/15/2024,619,20188,1
1/15/2024,118,3755,1
1/15/2024,150,1126,0
1/15/2024,324,4206,1
1/15/2024,609,16902,1
1/15/2024,232,8255,1
1/15/2024,144,2577,0
1/15/2024,399,7687,0
1/15/2024,146,4089,0
1/15/2024,396,6361,0
1/15/2024,441,2607,0
1/15/2024,611,75965,1
1/15/2024,17,6958,1
1/15/2024,149,1864,0
1/15/2024,296,2069,0
1/15/2024,635,8530,1
1/15/2024,20,1678,1
1/15/2024,304,4548,0
1/15/2024,158,4585,0
1/15/2024,222,2045,0
1/16/2024,159,8527,0
1/16/2024,16,8856,1
1/16/2024,394,5800,0
1/16/2024,625,17794,1
1/16/2024,297,1549,0
1/16/2024,225,35469,1
1/16/2024,158,7823,0
1/16/2024,405,15098,1
1/16/2024,325,3545,1
1/16/2024,8,10280,0
1/16/2024,307,12167,0
1/16/2024,610,98325,1
1/16/2024,298,3608,0
1/16/2024,329,4353,1
1/16/2024,476,15407,0
1/16/2024,145,2929,0
1/16/2024,393,6990,0
1/16/2024,299,3865,0
1/16/2024,438,6057,0
1/16/2024,324,8992,1
1/16/2024,612,39641,1
1/16/2024,164,47678,1
1/16/2024,107,3770,1
1/16/2024,147,6240,0
1/16/2024,605,16945,0
1/16/2024,304,5529,0
1/16/2024,234,9849,1
1/16/2024,607,63921,1
1/16/2024,414,13828,1
1/16/2024,149,2568,0
1/16/2024,395,7263,0
1/16/2024,623,24207,1
1/16/2024,224,4156,1
1/16/2024,222,3035,0
1/16/2024,436,2022,0
1/16/2024,437,1702,0
1/16/2024,22,3309,1
1/16/2024,150,1575,0
1/16/2024,155,4542,0
1/16/2024,154,4228,0
1/16/2024,152,3220,0
1/16/2024,624,34856,1
1/16/2024,477,21291,0
1/16/2024,396,12764,0
1/16/2024,303,6124,0
1/16/2024,413,10591,1
1/16/2024,398,20043,0
1/16/2024,602,56818,1
1/16/2024,635,14395,1
1/16/2024,165,13823,1
1/16/2024,313,25093,0
1/16/2024,312,10029,0
1/16/2024,301,5994,0
1/16/2024,156,2826,0
1/16/2024,146,6044,0
1/16/2024,14,11736,1
1/16/2024,404,13660,1
1/16/2024,157,7036,0
1/16/2024,231,13091,1
1/16/2024,397,31686,0
1/16/2024,310,22802,0
1/16/2024,223,7131,0
1/16/2024,103,1880,1
1/16/2024,300,4533,0
1/16/2024,9,23663,1
1/16/2024,119,15234,1
1/16/2024,441,3986,0
1/16/2024,439,6830,0
1/16/2024,440,5243,0
1/16/2024,306,5740,0
1/16/2024,318,42519,1
1/16/2024,323,6665,1
1/16/2024,220,1675,0
1/16/2024,321,5363,1
1/16/2024,609,31268,1
1/16/2024,333,11763,1
1/16/2024,151,13154,0
1/16/2024,309,8164,0
1/16/2024,622,16375,1
1/16/2024,409,6394,1
1/16/2024,319,7934,1
1/16/2024,153,15611,0
1/16/2024,328,10071,1
1/16/2024,601,27063,1
1/16/2024,305,6975,0
1/16/2024,169,11609,1
1/16/2024,118,4009,1
1/16/2024,314,15187,0
1/16/2024,162,14358,1
1/16/2024,168,9243,1
1/16/2024,407,10039,1
1/16/2024,10,15551,1
1/16/2024,143,5226,0
1/16/2024,311,12354,0
1/16/2024,316,15907,1
1/16/2024,475,11354,0
1/16/2024,471,18544,1
1/16/2024,403,19168,1
1/16/2024,619,22528,1
1/16/2024,167,24206,1
1/16/2024,614,43184,1
1/16/2024,308,8004,0
1/16/2024,144,3745,0
1/16/2024,326,4123,1
1/16/2024,20,3325,1
1/16/2024,327,12002,1
1/16/2024,160,6378,0
1/16/2024,232,10467,1
1/16/2024,399,15269,0
1/16/2024,276,17986,1
1/16/2024,628,50401,1
1/16/2024,296,2832,0
1/16/2024,228,16303,1
1/16/2024,618,28296,1
1/16/2024,611,114156,1
1/16/2024,13,7552,1
1/16/2024,392,13588,0
1/16/2024,277,11751,1
1/16/2024,17,6448,1
1/16/2024,613,37036,1
1/16/2024,320,8813,1
1/17/2024,224,4472,1
1/17/2024,333,14190,1
1/17/2024,228,18582,1
1/17/2024,625,20367,1
1/17/2024,399,16566,0
1/17/2024,14,13551,1
1/17/2024,623,26893,1
1/17/2024,440,5616,0
1/17/2024,303,6683,0
1/17/2024,154,4561,0
1/17/2024,234,10844,1
1/17/2024,405,17222,1
1/17/2024,635,17837,1
1/17/2024,167,26928,1
1/17/2024,471,19539,1
1/17/2024,437,1860,0
1/17/2024,436,2121,0
1/17/2024,312,10618,0
1/17/2024,476,17170,0
1/17/2024,404,15308,1
1/17/2024,323,7674,1
1/17/2024,477,23119,0
1/17/2024,220,1899,0
